species,target_pos,n_train,n_train_pos,n_test_pos,n_test,model,accuracy,f1,average_precision,auroc
Copsychus malabaricus,100,400,100,24,9542,linear_probe,0.9739048417522532,0.16161616161616163,0.12002373204553538,0.9896249212019331
Copsychus malabaricus,100,400,100,24,9542,autogluon,0.9741144414168937,0.15699658703071673,0.11695146403593563,0.9876199481683827
Copsychus pyrropygus,5,20,5,49,9542,linear_probe,0.9470760846782645,0.13080895008605853,0.3821346550924323,0.9520011522991161
Copsychus pyrropygus,5,20,5,49,9542,autogluon,0.9950744078809474,0.11320754716981132,0.3198005946855997,0.9456334097949725
Copsychus pyrropygus,25,100,25,49,9542,linear_probe,0.9311465101655837,0.12749003984063745,0.42309108682771734,0.9855532648116657
Copsychus pyrropygus,25,100,25,49,9542,autogluon,0.985118423810522,0.26804123711340205,0.43199459999179257,0.972345896116795
Copsychus pyrropygus,100,400,100,49,9542,linear_probe,0.9722280444351289,0.2699724517906336,0.7960716226574335,0.9976868025204393
Copsychus pyrropygus,100,400,100,49,9542,autogluon,0.977363236218822,0.3076923076923077,0.7270123464184584,0.9967752823240325
Copsychus saularis,5,20,5,82,9542,linear_probe,0.973800041919933,0.3842364532019704,0.5383173516549729,0.9914131387614088
Copsychus saularis,5,20,5,82,9542,autogluon,0.9921400125759798,0.32432432432432434,0.4053940388433191,0.9775176610117053
Copsychus saularis,25,100,25,82,9542,linear_probe,0.9775728358834626,0.42780748663101603,0.6407586626535431,0.994646264115918
Copsychus saularis,25,100,25,82,9542,autogluon,0.9917208132466988,0.5433526011560693,0.5365137851281452,0.9932836590522354
Copsychus saularis,100,400,100,82,9542,linear_probe,0.9610144623768602,0.30337078651685395,0.5505824801977313,0.993339091424741
Copsychus saularis,100,400,100,82,9542,autogluon,0.9734856424229721,0.39036144578313253,0.5968428047433523,0.9941409271386583
Corvus corax,5,20,5,12,9542,linear_probe,0.9924544120729407,0.21739130434782608,0.3428420076784955,0.9946572228051767
Corvus corax,5,20,5,12,9542,autogluon,0.9986376021798365,0.0,0.1663594500186807,0.9372551591465548
Corvus corax,25,100,25,12,9542,linear_probe,0.9747432404108154,0.08365019011406843,0.4747794844398096,0.9857817418677859
Corvus corax,25,100,25,12,9542,autogluon,0.9983232026828757,0.38461538461538464,0.4091749045472013,0.947376705141658
Corvus cornix,5,20,5,5,9542,linear_probe,0.9994760008383986,0.6153846153846154,0.7131746031746031,0.9934570619691726
Corvus cornix,5,20,5,5,9542,autogluon,0.999580800670719,0.5,0.6840584964950447,0.9724127083988676
Corvus corone,5,20,5,45,9542,linear_probe,0.9425696918884929,0.09868421052631579,0.25538262604250406,0.9149462403332047
Corvus corone,5,20,5,45,9542,autogluon,0.9953888073779082,0.043478260869565216,0.12830389687096674,0.886474091233489
Corvus corone,25,100,25,45,9542,linear_probe,0.9720184447704884,0.22157434402332363,0.43313437621159107,0.9718297006072093
Corvus corone,25,100,25,45,9542,autogluon,0.9958080067071893,0.375,0.4047834276914992,0.9520854538860225
Corvus corone,100,400,100,45,9542,linear_probe,0.9455040871934605,0.13043478260869565,0.5166690078650181,0.9795795163384928
Corvus corone,100,400,100,45,9542,autogluon,0.9915112135820583,0.37209302325581395,0.4568315671624558,0.9676038047102593
Corvus enca,5,20,5,5,9542,linear_probe,0.9502200796478726,0.020618556701030927,0.5282051282051282,0.9994966970745517
Corvus enca,5,20,5,5,9542,autogluon,0.9981136030182352,0.3076923076923077,0.32257799671592774,0.9989933941491035
Corvus enca,25,100,25,5,9542,linear_probe,0.9809264305177112,0.052083333333333336,0.6976190476190476,0.9997902904477299
Corvus enca,25,100,25,5,9542,autogluon,0.9932928107315029,0.13513513513513514,0.7251948051948052,0.9997902904477299
Corvus monedula,5,20,5,2,9542,linear_probe,0.9985328023475163,0.2222222222222222,0.325,0.9996855345911949
Corvus monedula,5,20,5,2,9542,autogluon,0.9997904003353595,0.5,0.45,0.9997903563941299
Corythaeola cristata,5,20,5,12,9542,linear_probe,0.9822888283378747,0.10582010582010581,0.606967885851491,0.9791010842952081
Corythaeola cristata,5,20,5,12,9542,autogluon,0.9981136030182352,0.1,0.0976661829187682,0.9450988107729976
Corythaeola cristata,25,100,25,12,9542,linear_probe,0.9904632152588556,0.19469026548672566,0.6878526582863086,0.9905211612451906
Corythaeola cristata,25,100,25,12,9542,autogluon,0.9992664011737581,0.6956521739130435,0.6812526077056957,0.9856418328086745
Corythopis delalandi,5,20,5,4,9542,linear_probe,0.9336617061412702,0.009389671361502348,0.2852461156808983,0.9742084294401342
Corythopis delalandi,5,20,5,4,9542,autogluon,0.9820792286732342,0.03389830508474576,0.24158653846153846,0.972124659257706
Corythopis delalandi,25,100,25,4,9542,linear_probe,0.95703206874869,0.019138755980861243,0.43333333333333335,0.9987418746068358
Corythopis delalandi,25,100,25,4,9542,autogluon,0.9833368266610774,0.04790419161676647,0.12669082125603864,0.99572761585238
Cossypha natalensis,5,20,5,7,9542,linear_probe,0.9723328442674491,0.050359712230215826,0.6097227224959803,0.9960895947261967
Cossypha natalensis,5,20,5,7,9542,autogluon,0.9979040033535946,0.2857142857142857,0.5929701705243501,0.9932878867330887
Cossypha niveicapilla,5,20,5,5,9542,linear_probe,0.9654160553343115,0.029411764705882353,0.0728956720172573,0.996036489462095
Cossypha niveicapilla,5,20,5,5,9542,autogluon,0.996856005030392,0.0625,0.08046709337432881,0.9959211492083464
Coturnix coturnix,5,20,5,3,9542,linear_probe,0.9653112555019912,0.011940298507462687,0.050537754042426934,0.9596044309326625
Coturnix coturnix,5,20,5,3,9542,autogluon,0.9991616013414378,0.0,0.012000979630251795,0.9129713107593388
Cranioleuca vulpina,5,20,5,1,9542,linear_probe,0.9697128484594425,0.006872852233676976,0.25,0.9996855675505713
Cranioleuca vulpina,5,20,5,1,9542,autogluon,0.9996856005030392,0.4,0.25,0.9997379729588094
Crax fasciolata,5,20,5,2,9542,linear_probe,0.9919304129113393,0.04938271604938271,0.09808612440191387,0.9985849056603774
Crax fasciolata,5,20,5,2,9542,autogluon,0.9975896038566339,0.08,0.039120715350223545,0.9958595387840672
Crithagra burtoni,5,20,5,31,9542,linear_probe,0.9732760427583316,0.15841584158415842,0.4221824140910409,0.978988675252085
Crithagra burtoni,5,20,5,31,9542,autogluon,0.9966464053657514,0.4074074074074074,0.3721843496853205,0.9439816714771689
Crithagra burtoni,25,100,25,31,9542,linear_probe,0.9734856424229721,0.19682539682539682,0.5089214501094956,0.9954619608534769
Crithagra burtoni,25,100,25,31,9542,autogluon,0.9950744078809474,0.41975308641975306,0.4733078641687739,0.992131352152516
Crithagra burtoni,100,400,100,31,9542,linear_probe,0.965625654998952,0.15025906735751296,0.5970361856715619,0.9940035476748484
Crithagra burtoni,100,400,100,31,9542,autogluon,0.9888912177740515,0.3116883116883117,0.6233652981830882,0.9921924020065053
Crithagra mozambica,5,20,5,9,9542,linear_probe,0.991406413749738,0.14583333333333334,0.37616244987441966,0.9881114724291059
Crithagra mozambica,5,20,5,9,9542,autogluon,0.9991616013414378,0.2,0.2633436353565994,0.9898364744688042
Cryptopezus nattereri,5,20,5,1,9542,linear_probe,0.958184866904213,0.004987531172069825,0.022222222222222223,0.9953883240750445
Cryptopezus nattereri,5,20,5,1,9542,autogluon,0.9945504087193461,0.0,0.0053475935828877,0.9810292422177969
Crypturellus obsoletus,5,20,5,3,9542,linear_probe,0.9798784321945085,0.030303030303030304,0.05319114400727178,0.9899011077331656
Crypturellus obsoletus,5,20,5,3,9542,autogluon,0.9981136030182352,0.0,0.009416971916971916,0.9774784219170424
Crypturellus undulatus,5,20,5,41,9542,linear_probe,0.9820792286732342,0.27848101265822783,0.2765127670867007,0.9893079290755016
Crypturellus undulatus,5,20,5,41,9542,autogluon,0.99612240620415,0.27450980392156865,0.3154796197963576,0.9835691236609241
Crypturellus undulatus,25,100,25,41,9542,linear_probe,0.959756864389017,0.1759656652360515,0.37996289276261197,0.9923294338721727
Crypturellus undulatus,25,100,25,41,9542,autogluon,0.9885768182770908,0.35502958579881655,0.38180858220163305,0.9907365335099514
Crypturellus undulatus,100,400,100,41,9542,linear_probe,0.9743240410815343,0.24615384615384617,0.5485102980805477,0.9946603823474294
Crypturellus undulatus,100,400,100,41,9542,autogluon,0.9844896248166003,0.3211009174311927,0.49982926902765673,0.9924077311502512
Cuculus canorus,5,20,5,91,9542,linear_probe,0.9208761265981974,0.19423692636072573,0.5927569598618188,0.9915317990653935
Cuculus canorus,5,20,5,91,9542,autogluon,0.9930832110668623,0.5925925925925926,0.6299066671446079,0.9899528045755959
Cuculus canorus,25,100,25,91,9542,linear_probe,0.9611192622091804,0.3242258652094718,0.6961588359823335,0.99454909707793
Cuculus canorus,25,100,25,91,9542,autogluon,0.9224481240830015,0.1956521739130435,0.5582955367823093,0.9898185086524944
Cuculus canorus,100,400,100,91,9542,linear_probe,0.9798784321945085,0.47540983606557374,0.8007355709576858,0.997078046279189
Cuculus canorus,100,400,100,91,9542,autogluon,0.9922448124083001,0.6666666666666666,0.7300752035012855,0.9958990327205332
Cuculus solitarius,5,20,5,9,9542,linear_probe,0.97264724376441,0.06451612903225806,0.3721350925586533,0.9954660419361981
Cuculus solitarius,5,20,5,9,9542,autogluon,0.9992664011737581,0.36363636363636365,0.3036236618409905,0.9907106309078405
Cuculus solitarius,25,100,25,9,9542,linear_probe,0.9479144833368267,0.03495145631067961,0.205094256217803,0.996526685082229
Cuculus solitarius,25,100,25,9,9542,autogluon,0.9965416055334312,0.23255813953488372,0.14664326258028254,0.9959264309940907
Curruca cantillans,5,20,5,9,9542,linear_probe,0.9853280234751625,0.10256410256410256,0.652013371437819,0.9942422229215473
Curruca cantillans,5,20,5,9,9542,autogluon,0.9993712010060783,0.625,0.6509617003367003,0.9808909402426659
Curruca cantillans,25,100,25,9,9542,linear_probe,0.9788304338713059,0.07339449541284404,0.7812333131173712,0.997062834364838
Curruca cantillans,25,100,25,9,9542,autogluon,0.997275204359673,0.38095238095238093,0.760660697327364,0.9963110598272666
Curruca communis,5,20,5,72,9542,linear_probe,0.8074827080276672,0.06893056259503294,0.29378439036076875,0.9532764284876218
Curruca communis,5,20,5,72,9542,autogluon,0.985537623139803,0.2159090909090909,0.11771810898313506,0.9108295201220227
Curruca communis,25,100,25,72,9542,linear_probe,0.9159505344791449,0.14680851063829786,0.5850526430660196,0.9858001877273261
Curruca communis,25,100,25,72,9542,autogluon,0.8553762313980298,0.09329829172141918,0.5052975783675979,0.9838554499589347
Curruca communis,100,400,100,72,9542,linear_probe,0.9498008803185914,0.22113821138211381,0.6371402837936241,0.9883638390238179
Curruca communis,100,400,100,72,9542,autogluon,0.9491720813246699,0.21900161030595813,0.5832803055202956,0.9884034377566585
Curruca conspicillata,5,20,5,4,9542,linear_probe,0.9881576189478097,0.06611570247933884,0.6810897435897436,0.9997116795973999
Curruca conspicillata,5,20,5,4,9542,autogluon,0.9996856005030392,0.5714285714285714,0.5458333333333333,0.999633046760327
Curruca curruca,5,20,5,3,9542,linear_probe,0.9325089079857473,0.009230769230769232,0.6666666666666667,0.9998252786805046
Curruca curruca,5,20,5,3,9542,autogluon,0.9969608048627122,0.17142857142857143,0.5666666666666667,0.9998252786805046
Curruca melanocephala,5,20,5,145,9542,linear_probe,0.9637392580171872,0.4135593220338983,0.6422141819043757,0.9661506056591797
Curruca melanocephala,5,20,5,145,9542,autogluon,0.9864808216306854,0.21818181818181817,0.5396644900667359,0.9602440984466797
Curruca melanocephala,25,100,25,145,9542,linear_probe,0.958604066233494,0.4042232277526395,0.7090320247963982,0.9839831494277338
Curruca melanocephala,25,100,25,145,9542,autogluon,0.989834416264934,0.5764192139737991,0.6681410729365418,0.9830830088839798
Curruca melanocephala,100,400,100,145,9542,linear_probe,0.9681408509746384,0.46853146853146854,0.7935919713891672,0.9887183363729437
Curruca melanocephala,100,400,100,145,9542,autogluon,0.9926640117375812,0.75177304964539,0.7753311726024699,0.9888152124852759
Curruca undata,5,20,5,8,9542,linear_probe,0.9346049046321526,0.025,0.11922657857057382,0.9889081183134046
Curruca undata,5,20,5,8,9542,autogluon,0.9985328023475163,0.125,0.07347316880271385,0.9553702538284036
Curruca undata,25,100,25,8,9542,linear_probe,0.9223433242506812,0.021136063408190225,0.30596555488433935,0.993470736312146
Curruca undata,25,100,25,8,9542,autogluon,0.9403688954097673,0.02735042735042735,0.4750059677005787,0.996106041535557
Cyanistes caeruleus,5,20,5,134,9542,linear_probe,0.7087612659819744,0.08615586977967774,0.39603861940457336,0.9470203193217586
Cyanistes caeruleus,5,20,5,134,9542,autogluon,0.9842800251519598,0.25742574257425743,0.32634028106507557,0.9463325908721698
Cyanistes caeruleus,25,100,25,134,9542,linear_probe,0.9385872982603228,0.26932668329177056,0.48275344022560435,0.9592027109351202
Cyanistes caeruleus,25,100,25,134,9542,autogluon,0.8633410186543702,0.15653298835705046,0.47405143430728536,0.9610041311300639
Cyanistes caeruleus,100,400,100,134,9542,linear_probe,0.9311465101655837,0.2659217877094972,0.5440882716225063,0.9740773174941618
Cyanistes caeruleus,100,400,100,134,9542,autogluon,0.9568224690840494,0.33974358974358976,0.5311694009706951,0.9698882818052595
Cyanocorax yncas,5,20,5,1,9542,linear_probe,0.9998952001676797,0.6666666666666666,1.0,1.0
Cyanocorax yncas,5,20,5,1,9542,autogluon,1.0,1.0,1.0,0.9999999999999999
Cyanoderma erythropterum,5,20,5,128,9542,linear_probe,0.9573464682456508,0.30427350427350425,0.3232925279638829,0.9516104671234331
Cyanoderma erythropterum,5,20,5,128,9542,autogluon,0.9866904212953259,0.015503875968992248,0.27525240742742674,0.923899079827916
Cyanoderma erythropterum,25,100,25,128,9542,linear_probe,0.9506392789771536,0.3242467718794835,0.5271191901663163,0.9709583134161888
Cyanoderma erythropterum,25,100,25,128,9542,autogluon,0.9862712219660449,0.46530612244897956,0.36910086502844763,0.9642026669056725
Cyanoderma erythropterum,100,400,100,128,9542,linear_probe,0.9538880737790819,0.34718100890207715,0.5653489467441137,0.984125205810495
Cyanoderma erythropterum,100,400,100,128,9542,autogluon,0.9384824984280025,0.2867557715674362,0.5303884867882034,0.9833260303802848
Cyanoderma rufifrons,5,20,5,83,9542,linear_probe,0.9369105009431985,0.21409921671018275,0.566428118571609,0.9879301538536003
Cyanoderma rufifrons,5,20,5,83,9542,autogluon,0.9918256130790191,0.20408163265306123,0.354754362712487,0.9745744793318531
Cyanoderma rufifrons,25,100,25,83,9542,linear_probe,0.9687696499685601,0.3577586206896552,0.8405817157559572,0.9978117353651842
Cyanoderma rufifrons,25,100,25,83,9542,autogluon,0.9903584154265354,0.5660377358490566,0.6857252476166282,0.9946395158814771
Cyanoderma rufifrons,100,400,100,83,9542,linear_probe,0.9719136449381681,0.3824884792626728,0.9367179082399089,0.999279069974793
Cyanoderma rufifrons,100,400,100,83,9542,autogluon,0.9870048207922867,0.5571428571428572,0.8528425401591734,0.9977805290301707
Cyanoloxia brissonii,5,20,5,11,9542,linear_probe,0.9794592328652274,0.10091743119266056,0.8040707115942225,0.9992464780000191
Cyanoloxia brissonii,5,20,5,11,9542,autogluon,0.9991616013414378,0.6923076923076923,0.8781385281385281,0.9994801652025448
Cyanoloxia brissonii,25,100,25,11,9542,linear_probe,0.9639488576818277,0.060109289617486336,0.7180877601930233,0.999303707519005
Cyanoloxia brissonii,25,100,25,11,9542,autogluon,0.9946552085516663,0.3013698630136986,0.8548941798941798,0.99975677454431
Cyanolyca armillata,5,20,5,10,9542,linear_probe,0.9993712010060783,0.7692307692307693,0.9833333333333333,0.9999790180444817
Cyanolyca armillata,5,20,5,10,9542,autogluon,0.9997904003353595,0.9,0.9909090909090909,0.9999895090222409
Cyanolyca armillata,25,100,25,10,9542,linear_probe,0.999580800670719,0.8333333333333334,0.9714285714285714,0.9999580360889635
Cyanolyca armillata,25,100,25,10,9542,autogluon,0.9996856005030392,0.8571428571428571,0.9833333333333333,0.9999790180444817
Cyanomitra verticalis,5,20,5,9,9542,linear_probe,0.9660448543282331,0.05263157894736842,0.21674700943898834,0.9925055654626619
Cyanomitra verticalis,5,20,5,9,9542,autogluon,0.9990568015091176,0.3076923076923077,0.32483201868121225,0.9937060736389384
Cyanomitra verticalis,25,100,25,9,9542,linear_probe,0.9657304548312723,0.05217391304347826,0.5935965269298602,0.9994755061365782
Cyanomitra verticalis,25,100,25,9,9542,autogluon,0.9945504087193461,0.23529411764705882,0.6770143576556307,0.9991433266897445
Cyclarhis gujanensis,5,20,5,3,9542,linear_probe,0.9818696290085935,0.0335195530726257,0.4203944203944204,0.9971695146241745
Cyclarhis gujanensis,5,20,5,3,9542,autogluon,0.9994760008383986,0.4444444444444444,0.5064935064935064,0.9948107768109865
Cyornis rufigastra,5,20,5,286,9542,linear_probe,0.9528400754558792,0.4693396226415094,0.595515870887354,0.9587113405177363
Cyornis rufigastra,5,20,5,286,9542,autogluon,0.9706560469503249,0.047619047619047616,0.27172616663209354,0.9103320242851358
Cyornis rufigastra,25,100,25,286,9542,linear_probe,0.9181513309578705,0.39597834493426143,0.6172773522544847,0.9726580679476099
Cyornis rufigastra,25,100,25,286,9542,autogluon,0.9178369314609096,0.40963855421686746,0.7143459350253047,0.9812112045258113
Cyornis rufigastra,100,400,100,286,9542,linear_probe,0.9510584783064348,0.5353233830845772,0.8377628472993466,0.9869946388961083
Cyornis rufigastra,100,400,100,286,9542,autogluon,0.9857472228044435,0.7068965517241379,0.8452772328471185,0.9877110519126509
Cyornis sumatrensis,5,20,5,17,9542,linear_probe,0.9880528191154894,0.19718309859154928,0.24395795755626998,0.9920209973753281
Cyornis sumatrensis,5,20,5,17,9542,autogluon,0.9967512051980717,0.27906976744186046,0.20279435890076236,0.992894858730894
Cyornis sumatrensis,25,100,25,17,9542,linear_probe,0.9805072311884301,0.15454545454545454,0.17916360576602633,0.9946147907982091
Cyornis sumatrensis,25,100,25,17,9542,autogluon,0.9900440159295745,0.22764227642276422,0.21422317299361665,0.9941794040450825
Dendrocopos leucotos,5,20,5,1,9542,linear_probe,0.9973800041919932,0.07407407407407407,1.0,1.0
Dendrocopos leucotos,5,20,5,1,9542,autogluon,0.9998952001676797,0.0,1.0,0.9999999999999999
Dendrocopos major,5,20,5,45,9542,linear_probe,0.8721442045692727,0.0629800307219662,0.4703077730784201,0.954654686275198
Dendrocopos major,5,20,5,45,9542,autogluon,0.9971704045273527,0.5714285714285714,0.5633321574895421,0.9502930750061422
Dendrocopos major,25,100,25,45,9542,linear_probe,0.9311465101655837,0.11812080536912752,0.689747224339832,0.989563955869105
Dendrocopos major,25,100,25,45,9542,autogluon,0.996856005030392,0.6875,0.7351810817391135,0.9909035601885976
Dendrocopos major,100,400,100,45,9542,linear_probe,0.9772584363865018,0.28852459016393445,0.7664059576475483,0.9968036689948873
Dendrocopos major,100,400,100,45,9542,autogluon,0.9751624397400964,0.27076923076923076,0.7736336968447176,0.9968832262819838
Dendrocoptes medius,5,20,5,2,9542,linear_probe,0.8154474952840075,0.0011344299489506524,0.003584372243301555,0.8670335429769391
Dendrocoptes medius,5,20,5,2,9542,autogluon,0.9987424020121568,0.14285714285714285,0.04598003152916448,0.902646750524109
Dicaeum agile,5,20,5,6,9542,linear_probe,0.9777824355481031,0.05357142857142857,0.055974993459437794,0.9934109340044743
Dicaeum agile,5,20,5,6,9542,autogluon,0.9965416055334312,0.15384615384615385,0.33142593023222433,0.9930264261744967
Dicaeum agile,25,100,25,6,9542,linear_probe,0.9721232446028086,0.04316546762589928,0.05737636509302095,0.9942149049217003
Dicaeum agile,25,100,25,6,9542,autogluon,0.9846992244812408,0.0759493670886076,0.07646773130512968,0.9935332774049216
Dicaeum cruentatum,5,20,5,58,9542,linear_probe,0.9835464263257179,0.3794466403162055,0.3166476499446605,0.9803007606276994
Dicaeum cruentatum,5,20,5,58,9542,autogluon,0.9936072102284637,0.14084507042253522,0.2823556401468373,0.9696476097674486
Dicaeum cruentatum,25,100,25,58,9542,linear_probe,0.9755816390693774,0.32463768115942027,0.3972767318962345,0.9858473072615948
Dicaeum cruentatum,25,100,25,58,9542,autogluon,0.9883672186124502,0.4126984126984127,0.36278393618489274,0.9866581102110269
Dicaeum cruentatum,100,400,100,58,9542,linear_probe,0.9704464472856843,0.28426395939086296,0.4090530460533611,0.9831712939397025
Dicaeum cruentatum,100,400,100,58,9542,autogluon,0.9830224271641166,0.39097744360902253,0.3703477805574758,0.9813551680507279
Dicaeum trigonostigma,5,20,5,274,9542,linear_probe,0.9169985328023476,0.16806722689075632,0.10503537923987899,0.850756783406683
Dicaeum trigonostigma,5,20,5,274,9542,autogluon,0.9695032487948019,0.013559322033898305,0.08305242564291418,0.798057006448686
Dicaeum trigonostigma,25,100,25,274,9542,linear_probe,0.8290714734856425,0.22884160756501182,0.2133289630514072,0.9206814752275311
Dicaeum trigonostigma,25,100,25,274,9542,autogluon,0.9712848459442465,0.0,0.22857360328791365,0.914102444956195
Dicaeum trigonostigma,100,400,100,274,9542,linear_probe,0.8937329700272479,0.3249001331557923,0.4800099515667482,0.9614909948366406
Dicaeum trigonostigma,100,400,100,274,9542,autogluon,0.9435128903793754,0.4483111566018424,0.4911918174695438,0.9664810871092433
Dicrurus aeneus,5,20,5,1,9542,linear_probe,0.9994760008383986,0.2857142857142857,1.0,1.0
Dicrurus aeneus,5,20,5,1,9542,autogluon,1.0,1.0,1.0,1.0
Dicrurus leucophaeus,5,20,5,18,9542,linear_probe,0.985956822469084,0.20238095238095238,0.5025157785152401,0.996640067198656
Dicrurus leucophaeus,5,20,5,18,9542,autogluon,0.9973800041919932,0.4897959183673469,0.49945796029575573,0.996435904615241
Dicrurus leucophaeus,25,100,25,18,9542,linear_probe,0.9797736323621882,0.1572052401746725,0.5330018393211277,0.99772504549909
Dicrurus leucophaeus,25,100,25,18,9542,autogluon,0.9949696080486271,0.4,0.6655973873969672,0.998051705632554
Dicrurus paradiseus,5,20,5,417,9542,linear_probe,0.9135401383357786,0.3726235741444867,0.3087970469928456,0.8983305410466148
Dicrurus paradiseus,5,20,5,417,9542,autogluon,0.9525256759589185,0.1100196463654224,0.20651136227934513,0.870828159390296
Dicrurus paradiseus,25,100,25,417,9542,linear_probe,0.8613498218402851,0.3211903540277065,0.4056726374214403,0.9167596333891791
Dicrurus paradiseus,25,100,25,417,9542,autogluon,0.958184866904213,0.2542056074766355,0.384131738450999,0.9201639893564599
Dicrurus paradiseus,100,400,100,417,9542,linear_probe,0.9098721442045693,0.45775535939470363,0.5722833547963946,0.9622614237377222
Dicrurus paradiseus,100,400,100,417,9542,autogluon,0.9029553552714316,0.44216867469879517,0.5573636280284924,0.9570124503137217
Drymophila malura,5,20,5,3,9542,linear_probe,0.9673024523160763,0.018867924528301886,0.14654377880184333,0.9985323409162387
Drymophila malura,5,20,5,3,9542,autogluon,0.9945504087193461,0.10344827586206896,0.06784688995215311,0.9968550162490828
Dryobates minor,5,20,5,2,9542,linear_probe,0.9970656046950325,0.125,1.0,1.0
Dryobates minor,5,20,5,2,9542,autogluon,0.9964368057011109,0.10526315789473684,1.0,1.0
Dryobates passerinus,5,20,5,1,9542,linear_probe,0.9690840494655208,0.006734006734006734,0.004629629629629629,0.977465674457604
Dryobates passerinus,5,20,5,1,9542,autogluon,0.9981136030182352,0.0,0.001610305958132045,0.93721832093072
Dryocopus martius,5,20,5,11,9542,linear_probe,0.9326137078180675,0.02723146747352496,0.09955557962402531,0.9473965337988002
Dryocopus martius,5,20,5,11,9542,autogluon,0.9988472018444771,0.0,0.01551570796989189,0.9282198758119439
Dryocopus martius,25,100,25,11,9542,linear_probe,0.9504296793125131,0.04056795131845842,0.46521592061364786,0.9772512662031076
Dryocopus martius,25,100,25,11,9542,autogluon,0.9970656046950325,0.3333333333333333,0.4920068188781875,0.9852824753674612
Dubusia taeniata,5,20,5,2,9542,linear_probe,0.9992664011737581,0.36363636363636365,0.75,0.999895178197065
Dubusia taeniata,5,20,5,2,9542,autogluon,0.9997904003353595,0.0,0.3333333333333333,0.9997117400419288
Dysithamnus mentalis,5,20,5,38,9542,linear_probe,0.9720184447704884,0.13029315960912052,0.08186469663019108,0.9723828194222931
Dysithamnus mentalis,5,20,5,38,9542,autogluon,0.9946552085516663,0.03773584905660377,0.0725784549431678,0.946035187400319
Dysithamnus mentalis,25,100,25,38,9542,linear_probe,0.9583944665688535,0.14989293361884368,0.5062842642955367,0.9892981348573453
Dysithamnus mentalis,25,100,25,38,9542,autogluon,0.9839656256549989,0.27488151658767773,0.47186018025233945,0.989512725943647
Dysithamnus mentalis,100,400,100,38,9542,linear_probe,0.963320058687906,0.17061611374407584,0.4159289240407405,0.9907850434166224
Dysithamnus mentalis,100,400,100,38,9542,autogluon,0.9578704674072521,0.1589958158995816,0.4520264483472693,0.9893590510366825
Elaenia spectabilis,5,20,5,2,9542,linear_probe,0.9686648501362398,0.006644518272425249,0.25096153846153846,0.9455450733752621
Elaenia spectabilis,5,20,5,2,9542,autogluon,0.996856005030392,0.0625,0.16985138004246284,0.9841194968553459
Emberiza calandra,5,20,5,127,9542,linear_probe,0.9218193250890798,0.22933884297520662,0.5121937085322661,0.9684085957656781
Emberiza calandra,5,20,5,127,9542,autogluon,0.9872144204569273,0.07575757575757576,0.4460998462608495,0.9582994969494985
Emberiza calandra,25,100,25,127,9542,linear_probe,0.8613498218402851,0.15678776290630975,0.6218953176022318,0.980438318816096
Emberiza calandra,25,100,25,127,9542,autogluon,0.9888912177740515,0.43617021276595747,0.5823741093839698,0.9748290757335629
Emberiza calandra,100,400,100,127,9542,linear_probe,0.9375392999371202,0.2819277108433735,0.7373734192176886,0.9847454012486357
Emberiza calandra,100,400,100,127,9542,autogluon,0.9926640117375812,0.72,0.7644779605244935,0.9833729891570245
Emberiza cirlus,5,20,5,66,9542,linear_probe,0.9937120100607839,0.5945945945945946,0.622814337955224,0.9597435946633921
Emberiza cirlus,5,20,5,66,9542,autogluon,0.9942360092223852,0.2857142857142857,0.5259449932608105,0.9468497767885695
Emberiza cirlus,25,100,25,66,9542,linear_probe,0.985118423810522,0.4274193548387097,0.6669912471406124,0.9769401486370671
Emberiza cirlus,25,100,25,66,9542,autogluon,0.995703206874869,0.6095238095238096,0.5906992032400715,0.9572324660705834
Emberiza cirlus,100,400,100,66,9542,linear_probe,0.970341647453364,0.2907268170426065,0.7297117949254844,0.9852082453918672
Emberiza cirlus,100,400,100,66,9542,autogluon,0.9948648082163069,0.5811965811965812,0.6424405413783028,0.9790523427606584
Emberiza citrinella,5,20,5,16,9542,linear_probe,0.9122825403479354,0.027874564459930314,0.0823654462897591,0.9263791203023306
Emberiza citrinella,5,20,5,16,9542,autogluon,0.9981136030182352,0.0,0.06502879992376878,0.8627112639093009
Emberiza citrinella,25,100,25,16,9542,linear_probe,0.9619576608677426,0.07161125319693094,0.33312938419543325,0.9738019630484989
Emberiza citrinella,25,100,25,16,9542,autogluon,0.9619576608677426,0.06683804627249357,0.18664824711870734,0.9746548918748689
Emberiza goslingi,5,20,5,15,9542,linear_probe,0.9664640536575142,0.08571428571428572,0.5396662285098477,0.9958783807424513
Emberiza goslingi,5,20,5,15,9542,autogluon,0.9985328023475163,0.5333333333333333,0.4882280602103974,0.9952450928938805
Emberiza goslingi,25,100,25,15,9542,linear_probe,0.9698176482917628,0.09433962264150944,0.6224430245561813,0.9972149329974459
Emberiza goslingi,25,100,25,15,9542,autogluon,0.9936072102284637,0.2823529411764706,0.6428071121460713,0.9966621181904062
Erithacus rubecula,5,20,5,391,9542,linear_probe,0.8027667155732551,0.2642689601250977,0.266472099218257,0.9080885322443203
Erithacus rubecula,5,20,5,391,9542,autogluon,0.9591280653950953,0.00510204081632653,0.19092165470738057,0.8595744151618162
Erithacus rubecula,25,100,25,391,9542,linear_probe,0.9338713058059107,0.4815119145439606,0.6210130061846543,0.9485503380201624
