species,target_pos,n_train,n_train_pos,n_test_pos,n_test,model,accuracy,f1,average_precision,auroc
Automolus leucophthalmus,5,20,5,6,9542,autogluon,0.9988472018444771,0.15384615384615385,0.19188430064087905,0.9852838366890381
Automolus leucophthalmus,25,100,25,6,9542,linear_probe,0.964053657514148,0.03380281690140845,0.24451540008586986,0.9914359619686801
Automolus leucophthalmus,25,100,25,6,9542,autogluon,0.9817648291762733,0.04395604395604396,0.12458715596330275,0.990876677852349
Automolus ochrolaemus,5,20,5,1,9542,linear_probe,0.9979040033535946,0.09090909090909091,1.0,1.0
Automolus ochrolaemus,5,20,5,1,9542,autogluon,0.9998952001676797,0.6666666666666666,1.0,1.0
Baryphthengus ruficapillus,5,20,5,46,9542,linear_probe,0.9461328861873821,0.1461794019933555,0.4596581649271421,0.9891281454891762
Baryphthengus ruficapillus,5,20,5,46,9542,autogluon,0.9930832110668623,0.1951219512195122,0.13143471725275335,0.9693646752866195
Baryphthengus ruficapillus,25,100,25,46,9542,linear_probe,0.9573464682456508,0.1843687374749499,0.7631177809627873,0.9963165268671478
Baryphthengus ruficapillus,25,100,25,46,9542,autogluon,0.9857472228044435,0.39285714285714285,0.8410060219457594,0.99748406651771
Baryphthengus ruficapillus,100,400,100,46,9542,linear_probe,0.9788304338713059,0.3129251700680272,0.8945567235962597,0.9987225742646789
Baryphthengus ruficapillus,100,400,100,46,9542,autogluon,0.9778872353804234,0.30363036303630364,0.9076017400176872,0.9989915662429948
Basileuterus culicivorus,5,20,5,33,9542,linear_probe,0.9747432404108154,0.20462046204620463,0.2993985998514122,0.9899361689244958
Basileuterus culicivorus,5,20,5,33,9542,autogluon,0.9946552085516663,0.2153846153846154,0.25181382831558746,0.9897911707250228
Basileuterus culicivorus,25,100,25,33,9542,linear_probe,0.9526304757912387,0.1274131274131274,0.2543832030947545,0.9907615432907261
Basileuterus culicivorus,25,100,25,33,9542,autogluon,0.9775728358834626,0.21897810218978103,0.317624232429892,0.9925843777983856
Basileuterus culicivorus,100,400,100,33,9542,linear_probe,0.9668832529867952,0.17277486910994763,0.29358244973131775,0.9930368996516856
Basileuterus culicivorus,100,400,100,33,9542,autogluon,0.9678264514776777,0.1769436997319035,0.32309957217309726,0.9941076555862548
Bathmocercus rufus,5,20,5,56,9542,linear_probe,0.9572416684133306,0.13924050632911392,0.35614776825499006,0.9186526761242131
Bathmocercus rufus,5,20,5,56,9542,autogluon,0.9952840075455879,0.34782608695652173,0.36595056529451153,0.9228280021686095
Bathmocercus rufus,25,100,25,56,9542,linear_probe,0.952316076294278,0.17422867513611615,0.37902469747525575,0.9671941357188036
Bathmocercus rufus,25,100,25,56,9542,autogluon,0.9906728149234961,0.40268456375838924,0.3747973399060357,0.972355877835005
Bathmocercus rufus,100,400,100,56,9542,linear_probe,0.9757912387340181,0.314540059347181,0.6742693881343582,0.9943826993162856
Bathmocercus rufus,100,400,100,56,9542,autogluon,0.9693984489624816,0.2663316582914573,0.49204452775019786,0.9878260443962532
Batis minor,5,20,5,2,9542,linear_probe,0.9996856005030392,0.4,0.6428571428571428,0.9997379454926625
Batis minor,5,20,5,2,9542,autogluon,0.9997904003353595,0.0,0.28703703703703703,0.9987683438155137
Biatas nigropectus,5,20,5,2,9542,linear_probe,0.9860616223014044,0.014814814814814815,0.5062111801242236,0.9916666666666666
Biatas nigropectus,5,20,5,2,9542,autogluon,0.9992664011737581,0.2222222222222222,0.5097087378640777,0.9948899371069182
Bleda syndactylus,5,20,5,14,9542,linear_probe,0.971494445608887,0.04895104895104895,0.05728516334262407,0.9713925872616049
Bleda syndactylus,5,20,5,14,9542,autogluon,0.9933976105638231,0.11267605633802817,0.04386491322799131,0.9717711706848986
Bleda syndactylus,25,100,25,14,9542,linear_probe,0.9607000628798994,0.06947890818858561,0.20891094164422067,0.9915062372556076
Bleda syndactylus,25,100,25,14,9542,autogluon,0.9768392370572208,0.07531380753138076,0.1615493205295846,0.9827913218184
Brachypodius melanocephalos,5,20,5,2,9542,linear_probe,0.9767344372249004,0.017699115044247787,0.5185185185185185,0.9972746331236898
Brachypodius melanocephalos,5,20,5,2,9542,autogluon,0.9988472018444771,0.0,0.06470588235294118,0.9961740041928722
Bradypterus bangwaensis,5,20,5,11,9542,linear_probe,0.9715992454412073,0.06872852233676977,0.5568003049027718,0.99268415982297
Bradypterus bangwaensis,5,20,5,11,9542,autogluon,0.9971704045273527,0.22857142857142856,0.27389030254413693,0.962300054368043
Bradypterus bangwaensis,25,100,25,11,9542,linear_probe,0.9619576608677426,0.05714285714285714,0.8183402854455486,0.9994181665569768
Bradypterus bangwaensis,25,100,25,11,9542,autogluon,0.9967512051980717,0.41509433962264153,0.8145965145965146,0.9996613920126668
Brotogeris chiriri,5,20,5,3,9542,linear_probe,0.9654160553343115,0.017857142857142856,0.40793650793650793,0.9954223014292204
Brotogeris chiriri,5,20,5,3,9542,autogluon,0.9985328023475163,0.125,0.3689255189255189,0.9907921864625922
Buccanodon duchaillui,5,20,5,2,9542,linear_probe,0.951582477468036,0.008583690987124463,0.5217391304347826,0.9976939203354297
Buccanodon duchaillui,5,20,5,2,9542,autogluon,0.9998952001676797,0.6666666666666666,0.5303030303030303,0.9984276729559749
Buceros rhinoceros,5,20,5,34,9542,linear_probe,0.9162649339761056,0.07415990730011587,0.4416725135100896,0.9848610458066273
Buceros rhinoceros,5,20,5,34,9542,autogluon,0.9970656046950325,0.5,0.38354484435987274,0.9882544730134376
Buceros rhinoceros,25,100,25,34,9542,linear_probe,0.9496960804862712,0.11764705882352941,0.6131755428306999,0.99243980301418
Buceros rhinoceros,25,100,25,34,9542,autogluon,0.9919304129113393,0.40310077519379844,0.49664738606989833,0.9930522903313618
Buceros rhinoceros,100,400,100,34,9542,linear_probe,0.9893104171033327,0.4,0.7182168975442339,0.9987255314410156
Buceros rhinoceros,100,400,100,34,9542,autogluon,0.9889960176063718,0.3930635838150289,0.7088099782102474,0.9986033433146082
Burhinus oedicnemus,5,20,5,16,9542,linear_probe,0.9948648082163069,0.3287671232876712,0.6475722573221588,0.9923695674994751
Burhinus oedicnemus,5,20,5,16,9542,autogluon,0.9991616013414378,0.6666666666666666,0.6080351604989398,0.9869337864791098
Burhinus oedicnemus,25,100,25,16,9542,linear_probe,0.9841752253196395,0.16574585635359115,0.8560119569452562,0.9985040940583666
Burhinus oedicnemus,25,100,25,16,9542,autogluon,0.9981136030182352,0.5909090909090909,0.8314011043603533,0.9978775194205333
Buteo buteo,5,20,5,2,9542,linear_probe,0.9751624397400964,0.016597510373443983,0.07125603864734299,0.9980083857442348
Buteo buteo,5,20,5,2,9542,autogluon,0.9858520226367637,0.0,0.00569217804336168,0.9732180293501048
Bycanistes subcylindricus,5,20,5,15,9542,linear_probe,0.9761056382309788,0.11627906976744186,0.6397020418619227,0.9977887407718414
Bycanistes subcylindricus,5,20,5,15,9542,autogluon,0.9987424020121568,0.4,0.532682689703067,0.992729435639061
Bycanistes subcylindricus,25,100,25,15,9542,linear_probe,0.9897296164326137,0.234375,0.8116825975010118,0.9991392883384066
Bycanistes subcylindricus,25,100,25,15,9542,autogluon,0.9986376021798365,0.5517241379310345,0.6855337690631808,0.998922361009062
Cacicus cela,5,20,5,24,9542,linear_probe,0.9790400335359464,0.1935483870967742,0.7650331036627684,0.999172620298382
Cacicus cela,5,20,5,24,9542,autogluon,0.9976944036889541,0.5769230769230769,0.6070966325121505,0.9957886810954683
Cacicus cela,25,100,25,24,9542,linear_probe,0.9863760217983651,0.2696629213483146,0.7363265782523882,0.998918715416404
Cacicus cela,25,100,25,24,9542,autogluon,0.9952840075455879,0.5161290322580645,0.7103632722452673,0.9990566120333403
Cacicus solitarius,5,20,5,26,9542,linear_probe,0.9588136658981345,0.09655172413793103,0.1937528581889065,0.9814159148963688
Cacicus solitarius,5,20,5,26,9542,autogluon,0.9630056591909453,0.11083123425692695,0.17922019927856717,0.9819130533191063
Cacicus solitarius,25,100,25,26,9542,linear_probe,0.9589184657304548,0.10909090909090909,0.28006490260872047,0.989426714521292
Cacicus solitarius,25,100,25,26,9542,autogluon,0.9913016139174178,0.3252032520325203,0.2693503731592435,0.9896732628447634
Cacicus solitarius,100,400,100,26,9542,linear_probe,0.9686648501362398,0.14814814814814814,0.5333335766845182,0.9969888770330132
Cacicus solitarius,100,400,100,26,9542,autogluon,0.955879270593167,0.10993657505285412,0.21357694411467046,0.9936422866750736
Cacomantis merulinus,5,20,5,39,9542,linear_probe,0.9775728358834626,0.2357142857142857,0.48394817797424294,0.9914925651008993
Cacomantis merulinus,5,20,5,39,9542,autogluon,0.9951792077132676,0.23333333333333334,0.289847963159346,0.9897279401646444
Cacomantis merulinus,25,100,25,39,9542,linear_probe,0.976944036889541,0.26174496644295303,0.49782404468793134,0.9966353405267432
Cacomantis merulinus,25,100,25,39,9542,autogluon,0.9533640746174806,0.1491395793499044,0.34784767520485355,0.9956032777773282
Cacomantis merulinus,100,400,100,39,9542,linear_probe,0.9823936281701949,0.3170731707317073,0.6280317778443822,0.9975122565883379
Cacomantis merulinus,100,400,100,39,9542,autogluon,0.9838608258226786,0.33043478260869563,0.6745283997883293,0.9968511967880589
Cacomantis sonneratii,5,20,5,14,9542,linear_probe,0.9794592328652274,0.08411214953271028,0.042913917416169914,0.8956908960057575
Cacomantis sonneratii,5,20,5,14,9542,autogluon,0.9984280025151959,0.0,0.03901418822372579,0.891035444404462
Cacomantis sonneratii,25,100,25,14,9542,linear_probe,0.9762104380632991,0.10276679841897234,0.16988750996878185,0.9939501619287514
Cacomantis sonneratii,25,100,25,14,9542,autogluon,0.9984280025151959,0.0,0.06907081949289567,0.9861011155091759
Calandrella brachydactyla,5,20,5,29,9542,linear_probe,0.9677216516453574,0.15846994535519127,0.5458856680544132,0.9965455619714584
Calandrella brachydactyla,5,20,5,29,9542,autogluon,0.9973800041919932,0.24242424242424243,0.4597142363957198,0.9922519818614818
Calandrella brachydactyla,25,100,25,29,9542,linear_probe,0.9458184866904213,0.10086956521739131,0.5375587947268118,0.9959329701279919
Calandrella brachydactyla,25,100,25,29,9542,autogluon,0.9866904212953259,0.2742857142857143,0.5690599123468629,0.9936221577007144
Camaroptera brachyura,5,20,5,79,9542,linear_probe,0.9614336617061413,0.2396694214876033,0.16542929847985063,0.9687951876529106
Camaroptera brachyura,5,20,5,79,9542,autogluon,0.9897296164326137,0.09259259259259259,0.12887511038856675,0.9595352719519195
Camaroptera brachyura,25,100,25,79,9542,linear_probe,0.9431984908824146,0.22126436781609196,0.29027225512847565,0.980446161398759
Camaroptera brachyura,25,100,25,79,9542,autogluon,0.9767344372249004,0.30625,0.27242030101180364,0.9775768917449306
Camaroptera brachyura,100,400,100,79,9542,linear_probe,0.9580800670718926,0.2779783393501805,0.49188777321169214,0.9893629686306561
Camaroptera brachyura,100,400,100,79,9542,autogluon,0.955460071263886,0.2659758203799655,0.372637146369387,0.9878373732739237
Camaroptera chloronota,5,20,5,63,9542,linear_probe,0.9774680360511423,0.2996742671009772,0.3299056613195438,0.9713786699755684
Camaroptera chloronota,5,20,5,63,9542,autogluon,0.9927688115699015,0.18823529411764706,0.23001666477567356,0.974150879889882
Camaroptera chloronota,25,100,25,63,9542,linear_probe,0.9207713267658771,0.136986301369863,0.4120007947310103,0.9798234024418221
Camaroptera chloronota,25,100,25,63,9542,autogluon,0.9788304338713059,0.2986111111111111,0.42837487763688775,0.9826718041719623
Camaroptera chloronota,100,400,100,63,9542,linear_probe,0.9772584363865018,0.3673469387755102,0.6794748932672197,0.9966408619220097
Camaroptera chloronota,100,400,100,63,9542,autogluon,0.9702368476210438,0.3073170731707317,0.6915525262168924,0.9960614692126456
Camptostoma obsoletum,5,20,5,5,9542,linear_probe,0.9356529029553553,0.012861736334405145,0.08735551558752999,0.9621054839047918
Camptostoma obsoletum,5,20,5,5,9542,autogluon,0.9960176063718298,0.05,0.10570821525497429,0.941522491349481
Campylorhynchus turdinus,5,20,5,36,9542,linear_probe,0.9906728149234961,0.44025157232704404,0.8948936884163612,0.9992519344507563
Campylorhynchus turdinus,5,20,5,36,9542,autogluon,0.9982184028505554,0.7213114754098361,0.7948082868520189,0.9965255861794889
Campylorhynchus turdinus,25,100,25,36,9542,linear_probe,0.9850136239782016,0.33488372093023255,0.8687455354596366,0.9993191434649461
Campylorhynchus turdinus,25,100,25,36,9542,autogluon,0.9965416055334312,0.6732673267326733,0.85684789853608,0.9991657315847301
Campylorhynchus turdinus,100,400,100,36,9542,linear_probe,0.9865856214630057,0.36,0.8715163582270903,0.9993395983823083
Campylorhynchus turdinus,100,400,100,36,9542,autogluon,0.9970656046950325,0.7021276595744681,0.9165404111049151,0.9995558360801365
Cantorchilus leucotis,5,20,5,28,9542,linear_probe,0.9807168308530706,0.2,0.15807522529126636,0.9752319889486171
Cantorchilus leucotis,5,20,5,28,9542,autogluon,0.9964368057011109,0.05555555555555555,0.09769775989274584,0.9602315384846392
Cantorchilus leucotis,25,100,25,28,9542,linear_probe,0.9580800670718926,0.1111111111111111,0.27104897522146454,0.9727168984053575
Cantorchilus leucotis,25,100,25,28,9542,autogluon,0.9933976105638231,0.36363636363636365,0.2404471758685457,0.9667144658998769
Caprimulgus macrurus,5,20,5,3,9542,linear_probe,0.9402640955774471,0.010416666666666666,0.5916666666666666,0.9997204458888074
Caprimulgus macrurus,5,20,5,3,9542,autogluon,0.9969608048627122,0.17142857142857143,0.31746031746031744,0.9992836425900689
Capsiempis flaveola,5,20,5,17,9542,linear_probe,0.962900859358625,0.08762886597938144,0.11010961740631853,0.9920086459780763
