species,target_pos,seed,n_train,n_train_pos,n_test_pos,n_test,model,accuracy,f1,precision,recall,average_precision,auroc
Fringilla coelebs,2500,2,10000,2500,847,9542,autogluon,0.9463424858520226,0.7432296890672017,0.6460331299040977,0.8748524203069658,0.8452905083286183,0.9789327824144072
Fringilla coelebs,5000,0,13684,3421,847,9542,linear_probe,0.9342905051351917,0.7151294865970014,0.5812407680945347,0.9291617473435655,0.8633589073341879,0.9809365395438896
Fringilla coelebs,5000,0,13684,3421,847,9542,autogluon,0.9509536784741145,0.765295887662989,0.6652136006974717,0.9008264462809917,0.8764576835233856,0.9834167609796236
Malacopteron magnirostre,1000,0,4000,1000,924,9542,linear_probe,0.9599664640536575,0.8204887218045113,0.7250830564784053,0.9448051948051948,0.9108682380921242,0.9901405645487799
Malacopteron magnirostre,1000,0,4000,1000,924,9542,autogluon,0.9719136449381681,0.8624229979466119,0.8203125,0.9090909090909091,0.9247411552893567,0.9924928720617975
Malacopteron magnirostre,1000,1,4000,1000,924,9542,linear_probe,0.9598616642213372,0.8170090778786431,0.7313943541488451,0.9253246753246753,0.9068724704284704,0.9887431068969709
Malacopteron magnirostre,1000,1,4000,1000,924,9542,autogluon,0.9690840494655208,0.8521303258145363,0.7936507936507936,0.9199134199134199,0.9069528154741671,0.9912858569449425
Malacopteron magnirostre,1000,2,4000,1000,924,9542,linear_probe,0.9596520645566967,0.819672131147541,0.7225433526011561,0.946969696969697,0.9113734627688316,0.9897398377904295
Malacopteron magnirostre,1000,2,4000,1000,924,9542,autogluon,0.9600712638859777,0.8218793828892006,0.7234567901234568,0.9512987012987013,0.9213589669446712,0.9919626092171927
Malacopteron magnirostre,2500,0,10000,2500,924,9542,linear_probe,0.9651016558373506,0.8410501193317422,0.7523484201537147,0.9534632034632035,0.927870305619602,0.9923535407116285
Malacopteron magnirostre,2500,0,10000,2500,924,9542,autogluon,0.9794592328652274,0.8965153115100317,0.8752577319587629,0.9188311688311688,0.9545309063597774,0.9953085709061573
Malacopteron magnirostre,2500,1,10000,2500,924,9542,linear_probe,0.9659400544959128,0.8429192846785887,0.7615720524017467,0.9437229437229437,0.9304573153846533,0.991948167481934
Malacopteron magnirostre,2500,1,10000,2500,924,9542,autogluon,0.9774680360511423,0.8888888888888888,0.8506429277942631,0.9307359307359307,0.9565555349642655,0.9950813961315237
Malacopteron magnirostre,2500,2,10000,2500,924,9542,linear_probe,0.9642632571787885,0.8380047505938242,0.7468247248094835,0.9545454545454546,0.9333175684155345,0.9924295167971195
Malacopteron magnirostre,2500,2,10000,2500,924,9542,autogluon,0.9775728358834626,0.8903688524590164,0.8453307392996109,0.9404761904761905,0.9358237844115658,0.9940537724826423
Malacopteron magnirostre,5000,0,14876,3719,924,9542,linear_probe,0.9695032487948019,0.8590799031476998,0.7773882559158632,0.95995670995671,0.9427627963674815,0.9936055763683984
Malacopteron magnirostre,5000,0,14876,3719,924,9542,autogluon,0.9811360301823517,0.9074074074074074,0.8647058823529412,0.9545454545454546,0.9671805033851083,0.9968382646208128
Turdus merula,1000,0,4000,1000,639,9542,linear_probe,0.9154265353175435,0.5876341338783853,0.4362670713201821,0.8998435054773083,0.7826950204165072,0.971494548179413
Turdus merula,1000,0,4000,1000,639,9542,autogluon,0.9463424858520226,0.6767676767676768,0.5671957671957671,0.838810641627543,0.8028896352679835,0.9740593146408246
Turdus merula,1000,1,4000,1000,639,9542,linear_probe,0.9230769230769231,0.608324439701174,0.46153846153846156,0.892018779342723,0.7898066915736008,0.9705080860190786
Turdus merula,1000,1,4000,1000,639,9542,autogluon,0.9578704674072521,0.7086956521739131,0.659919028340081,0.7652582159624414,0.789710780161131,0.9718262399286203
Turdus merula,1000,2,4000,1000,639,9542,linear_probe,0.9128065395095368,0.5763747454175153,0.4271698113207547,0.8857589984350548,0.79173315607688,0.9732208569599985
Turdus merula,1000,2,4000,1000,639,9542,autogluon,0.9417312932299309,0.6638452237001209,0.5408866995073892,0.8591549295774648,0.7950563166737037,0.9736418435733274
