species,average_precision_autogluon,average_precision_linear_probe,auroc_autogluon,auroc_linear_probe,delta_ap
Ortalis canicollis,0.6495460103888343,0.6499341674610828,0.9567131398013751,0.9589524446142093,-0.00038815707224848506
Picumnus temminckii,0.0050103153551429415,0.0057431992711180525,0.9672431865828093,0.9713312368972746,-0.000732883915975111
Hirundo rustica,0.5095185762863017,0.5103519431388285,0.9684441414988815,0.9860004194630873,-0.0008333668525267734
Curruca cantillans,0.6509617003367003,0.652013371437819,0.9808909402426659,0.9942422229215473,-0.0010516711011187008
Arremon flavirostris,0.6174110425118489,0.6190410060117721,0.9990289733361327,0.9981432395549024,-0.0016299634999232815
Halcyon smyrnensis,0.04446084347609299,0.04614315312888465,0.9160586815032543,0.9656335292882636,-0.001682309652791661
Phylloscopus tenellipes,0.014829047196768155,0.016995614035087717,0.9874475890985326,0.9896750524109015,-0.0021665668383195613
Cnemotriccus fuscatus,0.1344725026274279,0.13721242791228735,0.9923964341898268,0.9936624466252154,-0.0027399252848594458
Poliolais lopezi,0.0010193679918450561,0.003861003861003861,0.900167697306362,0.9729588093491248,-0.002841635869158805
Zentrygon frenata,0.8385393912916849,0.8413819875776397,0.998708569330816,0.9994493392070485,-0.002842596285954846
Sirystes sibilator,0.006329113924050633,0.009174311926605505,0.9838067288544179,0.9886804318205639,-0.0028451980025548723
Serinus serinus,0.005019127463072093,0.007936536463577525,0.826579886626076,0.8276755721184128,-0.0029174090005054318
Dryobates passerinus,0.001610305958132045,0.004629629629629629,0.93721832093072,0.977465674457604,-0.003019323671497584
Dicrurus leucophaeus,0.49945796029575573,0.5025157785152401,0.996435904615241,0.996640067198656,-0.003057818219484365
Chiroxiphia caudata,0.09765331050912801,0.100883816825141,0.9667591877223606,0.9919783290888107,-0.0032305063160129877
Hieraaetus pennatus,0.002680965147453083,0.005988023952095809,0.96216329525207,0.9826014044649408,-0.0033070588046427256
Cacomantis sonneratii,0.03901418822372579,0.042913917416169914,0.891035444404462,0.8956908960057575,-0.0038997291924441208
Hylophilus poicilotis,0.0035211267605633804,0.008064516129032258,0.9710198092443141,0.98710826957342,-0.004543389368468877
Terpsiphone affinis,0.04003736249288054,0.04468621206964013,0.9885934550031465,0.989209670652402,-0.004648849576759588
Saxicola torquatus,0.00625,0.01098901098901099,0.9840163504873704,0.9905670265171366,-0.0047390109890109895
Cinnycerthia olivascens,0.877671068427371,0.8826959195545583,0.9964731814842028,0.9984395227598755,-0.005024851127187313
Milvus migrans,0.03444571265266227,0.03968929906276915,0.9255449846430444,0.9716383249681624,-0.0052435864101068805
Myiozetetes cayanensis,0.0032258064516129032,0.009433962264150943,0.9689235929147888,0.9889948642699926,-0.00620815581253804
Apalis jacksoni,0.43704557990272275,0.44345238095238093,0.998838864334407,0.9991160386545809,-0.006406801049658184
Aegithina tiphia,0.164611959104256,0.17163614802921776,0.9919087859310146,0.9914279555867511,-0.007024188924961761
Prunella modularis,0.7050686053913462,0.7124097007047413,0.978454434640813,0.9885693066509522,-0.007341095313395107
Furnarius leucopus,0.05319909687066401,0.06079421259886889,0.9646115813918644,0.988883062401678,-0.007595115728204885
Trogon surrucura,0.2362943213402382,0.2439054356890247,0.987991670072595,0.9883419941223409,-0.007611114348786502
Turdus albicollis,0.15410317185277442,0.16266921294819517,0.9752989387412,0.9777618997583272,-0.008566041095420751
Leptocoma brasiliana,0.5455163393872434,0.5543123543123543,0.9799094658836689,0.9980425055928411,-0.00879601492511084
